"","sample_id","plate_number","treatment","cluster_round_1","cluster_round_2","cluster_round_3","cluster_round_4","cluster_round_5","cluster_round_7","cluster_round_8","cluster_round_10"
"131","plate_10_188","plate_10","EGF",1,1,1,1,3,3,1,1
"132","plate_3_188","plate_3","ip70S6K_EGF",4,7,3,2,2,7,7,7
"133","plate_4_188","plate_4","ip70S6K_EGF",5,2,2,3,1,1,2,2
"134","plate_6_188","plate_6","iRSK_EGF",1,3,1,1,3,2,3,3
"135","plate_9_188","plate_9","ip70S6K_EGF",4,7,3,2,2,7,7,7
"136","plate_10_191","plate_10","ip70S6K_EGF",1,1,1,1,3,3,1,1
"137","plate_13_191","plate_13","iRSK_EGF",2,2,2,7,1,1,2,2
"138","plate_3_191","plate_3","EGF",5,2,2,3,1,1,2,2
"139","plate_4_191","plate_4","ip70S6K_EGF",6,3,3,2,2,2,3,3
"140","plate_8_191","plate_8","iRSK_EGF",2,2,2,3,1,1,2,2
"141","plate_10_189","plate_10","EGF",6,3,3,2,2,2,3,3
"142","plate_11_189","plate_11","ip70S6K_EGF",1,1,1,1,3,3,1,1
"143","plate_13_189","plate_13","EGF",8,5,5,6,6,5,4,6
"144","plate_3_189","plate_3","ip70S6K_EGF",7,8,7,5,5,8,8,5
"145","plate_4_189","plate_4","EGF",1,1,1,1,3,3,1,1
"146","plate_8_189","plate_8","EGF",1,1,1,1,3,3,1,1
"147","plate_9_189","plate_9","EGF",3,4,4,4,4,4,6,4
"148","plate_10_184","plate_10","iRSK_EGF",7,8,7,5,5,8,6,5
"149","plate_12_184","plate_12","iRSK_EGF",1,4,1,1,4,4,6,4
"150","plate_3_184","plate_3","ip70S6K_EGF",1,1,1,1,3,3,1,1
"151","plate_6_184","plate_6","ip70S6K_EGF",6,3,1,2,2,2,3,3
"152","plate_8_184","plate_8","iRSK_EGF",1,1,1,1,3,3,1,1
"153","plate_11_170","plate_11","EGF",5,2,2,3,1,1,2,2
"154","plate_3_170","plate_3","iRSK_EGF",3,4,4,4,4,4,6,4
"155","plate_4_170","plate_4","iRSK_EGF",2,6,6,7,7,6,5,8
"156","plate_6_170","plate_6","iRSK_EGF",4,7,8,8,8,7,7,7
"157","plate_7_170","plate_7","ip70S6K_EGF",1,1,1,1,3,3,1,1
"158","plate_8_170","plate_8","iRSK_EGF",2,6,6,7,7,6,5,8
"159","plate_9_170","plate_9","ip70S6K_EGF",3,4,4,4,4,4,6,4
"160","plate_3_179","plate_3","iRSK_EGF",4,7,8,8,8,7,7,7
"161","plate_4_179","plate_4","ip70S6K_EGF",2,2,2,3,1,1,2,2
"162","plate_6_179","plate_6","iRSK_EGF",3,4,4,7,7,4,5,8
"163","plate_7_179","plate_7","iRSK_EGF",6,3,3,2,2,2,3,3
"164","plate_10_153","plate_10","ip70S6K_EGF",1,1,1,1,3,3,1,1
"165","plate_11_153","plate_11","ip70S6K_EGF",5,2,2,3,1,1,2,2
"166","plate_13_153","plate_13","ip70S6K_EGF",4,3,3,2,2,2,3,3
"167","plate_2_153","plate_2","iRSK_EGF",3,4,4,4,4,4,6,4
"168","plate_6_153","plate_6","EGF",5,5,2,6,1,5,2,6
"169","plate_7_153","plate_7","EGF",1,1,1,1,3,3,1,1
"170","plate_8_153","plate_8","EGF",5,2,2,3,1,1,2,2
"171","plate_9_153","plate_9","iRSK_EGF",1,1,1,1,3,3,1,1
"172","plate_12_175","plate_12","iRSK_EGF",1,1,1,1,3,3,1,1
"173","plate_13_175","plate_13","EGF",1,1,1,1,3,3,1,1
"174","plate_3_175","plate_3","EGF",3,4,4,4,4,4,6,4
"175","plate_7_175","plate_7","iRSK_EGF",1,1,1,1,3,3,1,1
"176","plate_10_237","plate_10","iRSK_EGF",7,9,9,5,5,9,8,5
"177","plate_11_237","plate_11","ip70S6K_EGF",9,9,9,9,9,9,9,9
"178","plate_12_237","plate_12","iRSK_EGF",4,7,8,8,8,7,7,7
"179","plate_13_237","plate_13","EGF",8,5,5,6,6,5,4,6
"180","plate_2_237","plate_2","EGF",1,1,1,1,3,3,1,1
"181","plate_3_237","plate_3","ip70S6K_EGF",1,1,1,1,3,3,3,3
"182","plate_6_237","plate_6","iRSK_EGF",3,4,4,5,4,4,1,5
"183","plate_7_237","plate_7","EGF",9,9,9,9,9,9,9,9
"184","plate_8_237","plate_8","EGF",8,5,5,6,6,5,4,6
"185","plate_10_182","plate_10","ip70S6K_EGF",4,7,3,2,2,7,7,7
"186","plate_11_182","plate_11","ip70S6K_EGF",7,8,7,5,5,8,8,5
"187","plate_13_182","plate_13","EGF",7,8,7,5,5,8,1,5
"188","plate_2_182","plate_2","EGF",4,3,3,2,2,2,3,7
"189","plate_4_182","plate_4","ip70S6K_EGF",7,8,7,5,5,8,8,5
"190","plate_6_182","plate_6","EGF",2,2,2,7,1,1,5,8
"191","plate_7_182","plate_7","EGF",1,1,1,1,7,3,1,1
"192","plate_10_222","plate_10","iRSK_EGF",1,1,1,1,3,3,1,1
"193","plate_13_222","plate_13","EGF",9,9,9,9,9,9,9,9
"194","plate_2_222","plate_2","ip70S6K_EGF",5,2,2,3,1,1,2,2
"195","plate_3_222","plate_3","EGF",9,9,9,9,9,9,9,9
"196","plate_4_222","plate_4","EGF",9,9,9,9,9,9,9,9
"197","plate_7_222","plate_7","iRSK_EGF",8,5,5,6,6,5,4,6
"198","plate_8_222","plate_8","EGF",5,2,2,2,1,1,2,2
"199","plate_10_221","plate_10","iRSK_EGF",6,3,3,2,2,2,3,3
"200","plate_11_221","plate_11","EGF",3,4,4,4,4,4,6,4
"201","plate_12_221","plate_12","ip70S6K_EGF",7,6,6,5,7,6,5,5
"202","plate_13_221","plate_13","ip70S6K_EGF",1,1,1,1,3,3,1,1
"203","plate_3_221","plate_3","EGF",2,2,2,3,1,1,2,2
"204","plate_4_221","plate_4","ip70S6K_EGF",8,5,5,6,6,5,4,6
"205","plate_10_213","plate_10","iRSK_EGF",6,3,3,2,1,2,6,4
"206","plate_4_213","plate_4","ip70S6K_EGF",3,4,4,4,4,4,6,4
"207","plate_6_213","plate_6","EGF",7,8,7,5,5,8,1,5
"208","plate_11_235","plate_11","ip70S6K_EGF",9,9,9,9,9,9,9,9
"209","plate_3_235","plate_3","ip70S6K_EGF",6,3,3,2,2,2,3,3
"210","plate_7_235","plate_7","EGF",9,9,9,9,9,9,9,9
"211","plate_9_235","plate_9","ip70S6K_EGF",8,5,5,6,6,5,4,6
"212","plate_10_176","plate_10","EGF",6,3,3,2,2,2,3,3
"213","plate_11_176","plate_11","ip70S6K_EGF",6,3,3,2,2,2,3,3
"214","plate_13_176","plate_13","ip70S6K_EGF",6,3,3,2,2,2,3,3
"215","plate_2_176","plate_2","iRSK_EGF",6,3,3,2,2,2,3,3
"216","plate_6_176","plate_6","EGF",6,3,3,2,2,2,3,3
"217","plate_7_176","plate_7","EGF",6,3,3,2,2,2,3,3
"218","plate_10_231","plate_10","iRSK_EGF",1,1,1,1,3,2,1,1
"219","plate_12_231","plate_12","EGF",6,3,3,2,2,2,3,3
"220","plate_2_231","plate_2","EGF",2,2,2,3,1,1,2,2
"221","plate_3_231","plate_3","ip70S6K_EGF",5,6,2,3,1,1,5,2
"222","plate_4_231","plate_4","ip70S6K_EGF",4,3,3,2,2,2,3,3
"223","plate_9_231","plate_9","ip70S6K_EGF",8,5,5,6,6,5,4,6
"224","plate_13_205","plate_13","EGF",7,8,7,5,5,8,1,5
"225","plate_4_205","plate_4","ip70S6K_EGF",6,3,3,2,2,2,3,3
"226","plate_6_205","plate_6","ip70S6K_EGF",4,7,8,8,8,7,5,8
"227","plate_7_205","plate_7","EGF",2,6,6,7,7,6,5,8
"228","plate_8_205","plate_8","EGF",4,7,8,8,8,7,7,7
"229","plate_13_241","plate_13","iRSK_EGF",3,4,5,4,6,4,6,4
"230","plate_2_241","plate_2","EGF",8,5,5,6,6,5,4,6
"231","plate_3_241","plate_3","ip70S6K_EGF",2,6,6,7,7,6,5,8
"232","plate_4_241","plate_4","ip70S6K_EGF",5,2,2,3,1,1,2,2
"233","plate_6_241","plate_6","iRSK_EGF",8,5,5,6,6,5,4,6
"234","plate_8_241","plate_8","ip70S6K_EGF",9,9,9,9,9,9,9,9
"235","plate_9_241","plate_9","iRSK_EGF",4,7,8,8,8,7,7,7
"236","plate_11_206","plate_11","ip70S6K_EGF",2,6,6,7,7,6,5,8
"237","plate_2_206","plate_2","ip70S6K_EGF",1,1,6,1,7,6,1,1
"238","plate_4_206","plate_4","EGF",3,1,4,4,4,3,1,1
"239","plate_7_206","plate_7","ip70S6K_EGF",7,6,6,5,7,6,5,5
"240","plate_8_206","plate_8","EGF",1,1,1,1,3,6,1,1
"241","plate_9_206","plate_9","ip70S6K_EGF",6,3,1,2,2,2,3,3
"242","plate_10_216","plate_10","ip70S6K_EGF",5,2,2,3,1,1,2,2
"243","plate_11_216","plate_11","EGF",4,3,3,2,2,2,3,3
"244","plate_12_216","plate_12","EGF",1,1,1,1,3,3,1,1
"245","plate_13_216","plate_13","iRSK_EGF",2,2,2,3,1,1,2,2
"246","plate_2_216","plate_2","iRSK_EGF",7,6,6,5,7,6,5,5
"247","plate_4_216","plate_4","EGF",8,5,5,6,6,5,4,6
"248","plate_6_216","plate_6","ip70S6K_EGF",6,3,1,1,2,2,3,3
"249","plate_8_216","plate_8","EGF",6,3,3,2,2,2,3,3
"250","plate_9_216","plate_9","ip70S6K_EGF",1,4,1,1,3,4,3,3
"251","plate_10_208","plate_10","ip70S6K_EGF",5,2,2,3,1,1,2,2
"252","plate_12_208","plate_12","iRSK_EGF",1,1,1,1,3,3,1,1
"253","plate_13_208","plate_13","ip70S6K_EGF",5,2,2,3,1,1,2,2
"254","plate_2_208","plate_2","ip70S6K_EGF",5,2,2,3,1,1,2,2
"255","plate_3_208","plate_3","EGF",6,3,3,2,2,2,3,3
"256","plate_4_208","plate_4","iRSK_EGF",1,1,1,1,3,6,1,1
"257","plate_7_208","plate_7","EGF",4,7,3,2,2,7,7,7
"258","plate_13_165","plate_13","iRSK_EGF",5,2,2,3,1,1,2,2
"259","plate_2_165","plate_2","iRSK_EGF",5,2,2,3,1,1,2,2
"260","plate_3_165","plate_3","iRSK_EGF",6,6,6,7,7,6,5,8
"261","plate_6_165","plate_6","iRSK_EGF",2,2,2,3,1,1,2,2
"262","plate_7_165","plate_7","iRSK_EGF",3,4,4,4,4,4,6,4
"263","plate_12_230","plate_12","iRSK_EGF",7,8,7,5,5,8,1,5
"264","plate_13_230","plate_13","EGF",1,1,1,1,3,3,1,1
"265","plate_2_230","plate_2","ip70S6K_EGF",5,2,2,3,1,1,2,2
"266","plate_4_230","plate_4","iRSK_EGF",8,5,5,6,6,5,4,6
"267","plate_6_230","plate_6","EGF",2,6,6,7,7,6,5,8
"268","plate_9_230","plate_9","iRSK_EGF",3,4,7,4,5,4,8,4
"269","plate_10_203","plate_10","ip70S6K_EGF",4,7,8,8,8,7,7,7
"270","plate_11_203","plate_11","ip70S6K_EGF",5,2,2,3,1,1,2,2
"271","plate_13_203","plate_13","iRSK_EGF",4,7,8,8,8,7,7,7
"272","plate_3_203","plate_3","EGF",8,5,5,6,6,5,4,6
"273","plate_4_203","plate_4","EGF",3,4,4,4,4,4,1,1
"274","plate_10_209","plate_10","ip70S6K_EGF",3,4,4,4,4,4,6,4
"275","plate_2_209","plate_2","ip70S6K_EGF",5,2,2,3,1,1,2,2
"276","plate_3_209","plate_3","EGF",3,4,4,4,4,4,1,1
"277","plate_9_209","plate_9","ip70S6K_EGF",3,4,4,4,4,4,6,4
"278","plate_10_240","plate_10","iRSK_EGF",9,9,9,9,9,9,9,9
"279","plate_11_240","plate_11","ip70S6K_EGF",9,9,9,9,9,9,9,9
"280","plate_13_240","plate_13","EGF",9,9,9,9,9,9,9,9
"281","plate_3_240","plate_3","ip70S6K_EGF",7,8,7,5,5,8,8,5
"282","plate_4_240","plate_4","EGF",8,5,5,6,6,5,4,6
"283","plate_6_240","plate_6","ip70S6K_EGF",3,4,4,4,4,4,6,4
"284","plate_7_240","plate_7","iRSK_EGF",4,7,8,8,8,7,7,7
"285","plate_8_240","plate_8","ip70S6K_EGF",9,9,9,9,9,9,9,9
"286","plate_10_223","plate_10","EGF",8,5,5,6,6,5,4,6
"287","plate_11_223","plate_11","EGF",7,8,7,5,5,8,8,5
"288","plate_13_223","plate_13","iRSK_EGF",2,6,6,7,5,8,5,8
"289","plate_9_223","plate_9","EGF",7,8,7,5,5,8,8,5
"290","plate_10_236","plate_10","ip70S6K_EGF",9,9,9,9,9,9,9,9
"291","plate_11_236","plate_11","iRSK_EGF",9,9,9,9,9,9,9,9
"292","plate_12_236","plate_12","EGF",2,2,2,3,1,1,2,2
"293","plate_6_236","plate_6","EGF",1,1,1,1,3,3,1,1
"294","plate_8_236","plate_8","ip70S6K_EGF",7,8,7,5,5,8,8,5
"295","plate_11_159","plate_11","iRSK_EGF",7,8,7,5,5,8,8,5
"296","plate_13_159","plate_13","EGF",8,5,5,6,6,5,4,6
"297","plate_3_159","plate_3","ip70S6K_EGF",6,3,4,2,2,2,3,3
"298","plate_8_159","plate_8","iRSK_EGF",6,3,3,2,2,2,3,3
"299","plate_9_159","plate_9","ip70S6K_EGF",3,4,4,4,4,4,6,4
"300","plate_13_219","plate_13","ip70S6K_EGF",2,2,2,3,1,1,2,2
"301","plate_4_219","plate_4","ip70S6K_EGF",8,5,5,6,6,5,4,6
"302","plate_6_219","plate_6","EGF",2,2,2,3,1,1,2,2
"303","plate_7_219","plate_7","ip70S6K_EGF",1,3,1,1,2,2,3,3
"304","plate_10_212","plate_10","ip70S6K_EGF",3,4,4,4,4,4,6,4
"305","plate_13_212","plate_13","EGF",8,5,5,6,6,5,4,6
"306","plate_2_212","plate_2","iRSK_EGF",3,4,4,4,4,4,4,4
"307","plate_4_212","plate_4","EGF",6,3,1,2,2,2,3,3
"308","plate_7_212","plate_7","iRSK_EGF",5,2,2,3,1,1,2,2
"309","plate_9_212","plate_9","iRSK_EGF",1,1,1,1,3,2,3,3
"310","plate_10_238","plate_10","EGF",8,5,5,6,6,5,4,6
"311","plate_11_238","plate_11","EGF",8,5,5,6,6,5,4,6
"312","plate_2_238","plate_2","ip70S6K_EGF",6,3,3,2,2,2,3,3
"313","plate_7_238","plate_7","ip70S6K_EGF",2,2,2,3,1,1,2,2
"314","plate_10_232","plate_10","ip70S6K_EGF",9,9,9,9,9,9,9,9
"315","plate_3_232","plate_3","iRSK_EGF",2,6,6,7,7,6,5,8
"316","plate_7_232","plate_7","ip70S6K_EGF",2,6,6,7,7,6,5,8
"317","plate_9_232","plate_9","EGF",5,2,2,3,1,1,2,2
"318","plate_10_180","plate_10","EGF",1,1,1,1,3,3,1,1
"319","plate_13_180","plate_13","iRSK_EGF",2,2,2,3,1,1,2,2
"320","plate_3_180","plate_3","iRSK_EGF",2,6,6,7,7,6,5,8
"321","plate_4_180","plate_4","iRSK_EGF",4,7,8,8,8,7,7,7
"322","plate_6_180","plate_6","EGF",6,3,3,2,2,2,3,3
"323","plate_7_180","plate_7","EGF",3,4,4,4,4,4,6,4
"324","plate_9_180","plate_9","EGF",7,8,7,5,5,8,1,5
"325","plate_10_204","plate_10","EGF",3,4,4,4,4,4,6,4
"326","plate_12_204","plate_12","EGF",2,2,2,7,1,1,5,8
"327","plate_3_204","plate_3","ip70S6K_EGF",3,4,4,4,4,4,4,4
"328","plate_6_204","plate_6","EGF",7,8,7,5,5,8,8,5
"329","plate_8_204","plate_8","EGF",1,1,1,1,3,3,1,1
"330","plate_10_210","plate_10","EGF",2,6,6,7,7,6,5,8
"331","plate_11_210","plate_11","EGF",1,1,1,1,3,3,1,1
"332","plate_12_210","plate_12","EGF",6,3,3,2,2,2,3,3
"333","plate_13_210","plate_13","iRSK_EGF",6,3,3,2,2,2,3,3
"334","plate_2_210","plate_2","ip70S6K_EGF",3,4,4,4,4,4,6,4
"335","plate_3_210","plate_3","EGF",8,5,5,6,6,5,4,6
"336","plate_6_210","plate_6","ip70S6K_EGF",2,2,2,3,1,1,2,2
"337","plate_7_210","plate_7","ip70S6K_EGF",4,7,2,2,1,7,7,7
"338","plate_8_210","plate_8","iRSK_EGF",4,7,8,8,8,7,7,7
"339","plate_10_224","plate_10","EGF",8,5,5,6,6,5,4,6
"340","plate_12_224","plate_12","EGF",2,6,6,7,5,6,5,8
"341","plate_4_224","plate_4","EGF",2,6,6,7,7,6,5,8
"342","plate_6_224","plate_6","iRSK_EGF",7,8,7,5,5,8,8,5
"343","plate_7_224","plate_7","iRSK_EGF",1,1,1,1,3,3,1,1
"344","plate_11_228","plate_11","EGF",7,8,7,5,5,8,8,5
"345","plate_13_228","plate_13","iRSK_EGF",7,8,7,5,5,8,8,5
"346","plate_3_228","plate_3","iRSK_EGF",3,4,4,4,4,4,6,4
"347","plate_4_228","plate_4","ip70S6K_EGF",5,2,2,3,1,1,2,2
"348","plate_6_228","plate_6","iRSK_EGF",3,1,4,7,7,3,1,1
"349","plate_9_228","plate_9","EGF",7,8,7,5,5,8,8,5
"350","plate_10_201","plate_10","ip70S6K_EGF",1,3,1,1,2,2,3,3
"351","plate_12_201","plate_12","ip70S6K_EGF",1,1,1,1,3,3,1,1
"352","plate_13_201","plate_13","EGF",7,8,7,5,5,8,8,5
"353","plate_2_201","plate_2","EGF",7,8,7,5,5,8,1,5
"354","plate_4_201","plate_4","EGF",8,5,5,6,6,5,4,6
"355","plate_6_201","plate_6","iRSK_EGF",8,3,3,6,6,2,4,6
"356","plate_9_201","plate_9","iRSK_EGF",5,2,2,3,1,1,2,2
"357","plate_11_211","plate_11","ip70S6K_EGF",1,1,1,1,3,3,1,1
"358","plate_12_211","plate_12","EGF",8,5,4,6,4,5,4,4
"359","plate_4_211","plate_4","ip70S6K_EGF",1,1,1,1,3,3,1,1
"360","plate_7_211","plate_7","ip70S6K_EGF",6,3,3,2,2,2,3,3
"361","plate_8_211","plate_8","iRSK_EGF",7,8,7,5,5,8,8,5
"362","plate_10_220","plate_10","ip70S6K_EGF",5,2,2,3,1,1,2,2
"363","plate_11_220","plate_11","ip70S6K_EGF",6,3,3,2,2,2,3,3
"364","plate_12_220","plate_12","EGF",8,5,5,6,6,5,4,6
"365","plate_3_220","plate_3","EGF",8,5,5,6,6,5,4,6
"366","plate_4_220","plate_4","ip70S6K_EGF",7,8,7,5,5,8,8,5
"367","plate_6_220","plate_6","EGF",3,4,4,4,4,4,6,4
"368","plate_7_220","plate_7","EGF",2,2,2,3,1,1,2,2
"369","plate_9_220","plate_9","EGF",8,5,5,6,6,5,4,6
"370","plate_10_214","plate_10","EGF",2,6,6,7,7,6,5,8
"371","plate_3_214","plate_3","iRSK_EGF",7,8,7,5,5,8,8,5
"372","plate_4_214","plate_4","iRSK_EGF",7,8,7,5,5,6,1,5
"373","plate_6_214","plate_6","iRSK_EGF",6,3,3,2,2,2,3,3
"374","plate_7_214","plate_7","EGF",3,4,4,4,4,4,6,4
"375","plate_12_202","plate_12","iRSK_EGF",6,3,3,2,2,2,3,3
"376","plate_13_202","plate_13","iRSK_EGF",5,2,2,3,1,1,2,2
"377","plate_2_202","plate_2","iRSK_EGF",1,1,1,1,3,3,1,1
"378","plate_3_202","plate_3","ip70S6K_EGF",5,5,2,6,1,5,2,6
"379","plate_4_202","plate_4","EGF",8,5,5,6,6,5,4,6
"380","plate_6_202","plate_6","ip70S6K_EGF",2,6,6,7,7,6,5,8
"381","plate_7_202","plate_7","ip70S6K_EGF",5,2,2,3,1,1,2,2
"382","plate_8_202","plate_8","ip70S6K_EGF",3,4,4,4,4,4,6,4
"383","plate_10_218","plate_10","EGF",1,1,1,1,3,3,3,3
"384","plate_2_218","plate_2","EGF",1,1,1,1,3,3,6,1
"385","plate_7_218","plate_7","EGF",4,3,3,2,2,2,3,7
"386","plate_8_218","plate_8","iRSK_EGF",7,8,7,5,5,8,1,5
"387","plate_9_218","plate_9","iRSK_EGF",7,8,7,5,5,8,8,5
"388","plate_10_244","plate_10","ip70S6K_EGF",9,9,9,9,9,9,9,9
"389","plate_11_244","plate_11","ip70S6K_EGF",9,9,9,9,9,9,9,9
"390","plate_12_244","plate_12","EGF",7,8,7,5,5,8,8,5
