ab_name	term	estimate	std.error	statistic	p.value	fdr	term_type
ITGB1	cluster1	0.5702377089689457	0.18644047070619985	3.0585511118320894	0.002338919100966001	0.018155859521248582	cluster
ITGB1	cluster2	-0.37019403570137677	0.15222800687816831	-2.4318392081271343	0.015359593321491602	0.08440980046589633	cluster
ITGB1	cluster3	0.12415611172520452	0.16351910995625007	0.759275853191855	0.44803226736926205	0.7855207011425355	cluster
ITGB1	cluster4	0.35574645444719194	0.22283898452582135	1.596428269515696	0.11100188353003664	0.3559320292882242	cluster
ITGB1	cluster5	0.07552081838950603	0.22283898452582154	0.3389030808509856	0.73481981631984294	0.9331852570069237	cluster
ITGB1	cluster6	0.22936975627528267	0.14299331353587943	1.6040593130092753	0.10930930574914541	0.35416215062723116	cluster
ITGB1	cluster7	1.495941894638498	0.17776401393970062	8.415324685152175	3.8299097036039674e-16	5.096515555581566e-14	cluster
ITGB1	cluster8	-0.5811933888710196	0.1777640139397007	-3.269465939648314	0.0011489766447056833	0.010144755872448757	cluster
ITGB1	cluster9	-0.046197554701054425	0.22283898452582135	-0.2073136116616135	0.8358462603350434	0.9754831553567616	cluster
ITGB1	treatmentip70S6K_EGF	-0.17436320293648283	0.25760452979150616	-0.6768638854200459	0.49879388057764085	0.8252690937088321	treatment
ITGB1	treatmentiRSK_EGF	-0.9697608299004585	0.30445601375633696	-3.1852247486777516	0.0015333488619869511	0.012696128577251954	treatment
ITGB1	cluster2:treatmentip70S6K_EGF	0.10250599470362728	0.34423853277172184	0.2977760620761275	0.7659932463581032	0.9449463215239244	interaction
ITGB1	cluster3:treatmentip70S6K_EGF	-0.06792339509877614	0.3575732683061427	-0.1899565798655349	0.8494174261246676	0.9754831553567616	interaction
ITGB1	cluster4:treatmentip70S6K_EGF	-0.24982854476982957	0.39324239800717753	-0.6353041941455907	0.5255100334937859	0.8389247578396941	interaction
ITGB1	cluster5:treatmentip70S6K_EGF	-0.054034245871563316	0.3842100355867305	-0.14063725792338336	0.8882110786442932	0.9808756606486772	interaction
ITGB1	cluster6:treatmentip70S6K_EGF	0.25181941274236536	0.3573532662744454	0.7046791970525026	0.481325991873896	0.8133125522051633	interaction
ITGB1	cluster7:treatmentip70S6K_EGF	-0.3104887541006531	0.33676260056572555	-0.9219811035401936	0.3569668178858263	0.7077434547899996	interaction
ITGB1	cluster8:treatmentip70S6K_EGF	0.6506874134625393	0.3891492477993824	1.6720767601174635	0.09511189986226985	0.3207577173303603	interaction
ITGB1	cluster9:treatmentip70S6K_EGF	-0.23802283908804603	0.41169686109487297	-0.5781507258885686	0.5634131295486831	0.8631896877871682	interaction
ITGB1	cluster2:treatmentiRSK_EGF	0.5395335087274192	0.36766556649884286	1.467457270652832	0.1428574218454029	0.4254330158647107	interaction
ITGB1	cluster3:treatmentiRSK_EGF	0.4800694056792442	0.4004074662955524	1.1989521826870506	0.23109366276566923	0.5687285254061317	interaction
ITGB1	cluster4:treatmentiRSK_EGF	0.3481466551212047	0.44252420948312704	0.7867290594741555	0.4317995712751739	0.7698015323307645	interaction
ITGB1	cluster5:treatmentiRSK_EGF	0.42458217207490256	0.4112045435762866	1.032532783763208	0.3023034964650488	0.6529222025264497	interaction
ITGB1	cluster6:treatmentiRSK_EGF	0.4442322534820283	0.4609283871463858	0.9637771633729841	0.33560649327904013	0.6923974495889831	interaction
ITGB1	cluster7:treatmentiRSK_EGF	-0.11841877701842025	0.40643287809464107	-0.2913612146083455	0.7708914831530411	0.9467177541951982	interaction
ITGB1	cluster8:treatmentiRSK_EGF	0.8888479822947347	0.3948335771135825	2.2511965390396322	0.024790660066516097	0.12090314058617667	interaction
ITGB1	cluster9:treatmentiRSK_EGF	-0.01318944841166661	0.5081510678207771	-0.02595576246298173	0.9793025997119513	0.9940713114889482	interaction
MAPK_P38_P2	cluster1	-0.09203574560573852	0.19148687950247442	-0.48063734624987303	0.6309768033834537	0.8840019014202454	cluster
MAPK_P38_P2	cluster2	-0.532230594958171	0.15634838240629012	-3.4041324046135997	7.150833222333875e-4	0.007086171432557451	cluster
MAPK_P38_P2	cluster3	-0.3295129455551725	0.16794510325972423	-1.9620277052411965	0.050293234962448585	0.20368760159791677	cluster
MAPK_P38_P2	cluster4	-0.06702332016237551	0.22887059669352547	-0.2928437341041438	0.7697586414517867	0.9459500983012392	cluster
